fqn,global_combat_id,name,icon,attack_type,ablGlobalCooldownTime,mirror_fqn,exclusive_to_spec,is_interrupt,grants_absorb,its_revive,ignore_alacrity,is_passive,is_dcd,dcd_candidate
abl.exp.macrobinoculars.roth.multi.hoth.buff_dispense_probe,,,probedroid,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.intro.bnk_alpha_strike,3214237560209408,Alpha Strike,orbitalmultistrikes,Tech,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.intro.bnk_alpha_strike_cast,3214186020601856,Charging Alpha Strike,orbitalmultistrikes,None,-1.0,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.intro.bnk_droid_attachments,3129506445393920,Activating Assassination Mode,craftingdroidimperial,None,1.5,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.intro.bnk_droid_flurry,3129613819576320,Ranged Attack,flurryofbolts,Ranged,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.intro.bnk_elbow_strike,3213649149689856,Armblade Strike,hiltstrike,Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.intro.bnk_elbow_sweep,3213524595638272,Armblade Sweep,retractableblade,Tech,-1.0,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.intro.bnk_missile_barrage,3213404336553984,Mini-Missile Barrage,missilefan,Tech,-1.0,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.intro.bnk_piercing_laser,3214009926942720,Breaching Blast,flankingshot,Tech,-1.0,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.intro.buff_slice_proof,3251573710913536,Closed-Circuit Datawall,security,None,,,,False,False,False,False,True,False,False
abl.exp.macrobinoculars.roth.multi.ir_77_ambushes.charged_overhead_strike,3238873492619264,Kinetic Discharge Strike,chainlightning,Melee/Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.ir_77_ambushes.double_strike,3238611499614208,Double Strike,viciousslash,Melee,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.ir_77_ambushes.force_charge_multi_target,3240350961369088,Leaping Strike,forceCharge,Ranged,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.ir_77_ambushes.force_charge_multi_target_caster,,,criticalblade,None,-1.0,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.ir_77_ambushes.force_charge_single_target,3238899262423040,Leaping Strike,forceCharge,Melee,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.ir_77_ambushes.glaive_caster,,,criticalblade,None,-1.0,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.ir_77_ambushes.glaive_fire,3239775435751424,Homing Glaive,criticalblade,Tech,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.ir_77_ambushes.ground_slam_line_attack,3240621544308736,Arc Projection Slam,poweredpulsecannon,Tech,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.ir_77_ambushes.ground_slam_line_attack_caster,,,poweredpulsecannon,None,-1.0,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.ir_77_ambushes.knockup_attack,3238817658044416,Impulse Strike,backflips,Melee,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.ir_77_ambushes.lunge,3238826247979008,Electrostaff Lunge,lunge,Melee,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.ir_77_ambushes.staff_shock_stun,3238748938567680,Electrostaff Jolt,shock,Melee,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.ir_77_ambushes.stun_breaker,3239049586278400,Emergency Reboot,,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.ir_77_ambushes.triple_strike,3240612954374144,Triple Strike,viciousslash,Melee,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.laser_fence_death,3064862892621824,Laser Defense Grid,slash,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.laser_fence_death_area_cast,3064940202033152,Laser Defense Grid,slash,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.laser_fence_death_exhaustion,3065202195038208,Laser Defense Grid,slash,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.buff_assassin_droid_eyes,,,stimpack,None,,,,False,False,False,False,True,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.buff_car_chase_achievement_ac,,,datapad,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.buff_is_on_bus,,,stimpack,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.buff_tesla_coil,,,stimpack,None,,,,False,False,False,True,True,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.buff_tesla_coil_cover,,,stimpack,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.bus_droid_melee_charge,3187509978726400,Jet Charge,jetcharge,Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.bus_droid_ranged_charge,3187505683759104,Jet Charge,jetcharge,Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.dispel_car_chase_achievement,,,stimpack,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.droid_bus_3_wounded,,,datapad,None,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.droid_bus_grapple,3222994998525952,Grapple,grapple,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.droid_despawn_bus2,,,stimpack,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.droid_eletromagnetic_anchor,3072507934408704,Electromagnetically Anchored,droidfoot,None,,,,False,False,False,True,True,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.droid_force_charge_multi_target,3240643019145216,Leaping Strike,forceCharge,Ranged,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.droid_force_charge_multi_target_caster,,,criticalblade,None,-1.0,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.droid_ground_slam_line_attack_caster,,,poweredpulsecannon,None,-1.0,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.droid_knockup_attack,3223016473362432,Impulse Strike,backflips,Melee,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.droid_sweep_attack,3223012178395136,Electrostaff Sweep,surge,Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.droid_taser_jolt,3223020768329728,Neural Incapacitator,taserjolt,Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.exhasution_car_rooftops,,,stealth,None,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.makivoro_knockdown_round,3221118097817600,Explosive Anti-Personnel Round,explosiveprobe,Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.makivoro_mine,3222913394147328,Concussion Mine,concussionmissiles,Tech,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.makivoro_mine_caster,,,concussionmissiles,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.makivoro_shoot_refraction_probe,3221856832192512,Refracted Shots,flankingshot,Tech,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.makivoro_shoot_refraction_probe_caster,,,flankingshot,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.makivoro_summon_anticover_probe,3221843947290624,Anti-Cover Probe,antitoxinprobe,None,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.makivoro_summon_anticover_probe_caster,,,antitoxinprobe,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.makivoro_summon_refraction_probe,3221848242257920,Refraction Probe,virtualitem_targetdroid,None,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.makivoro_summon_refraction_probe_caster,,,virtualitem_targetdroid,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.makivoro_summon_shield_probe,3221904076832768,Nanoshield Probe,advancedmedicalprobe,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.makivoro_summon_targeting_probe,3221831062388736,Tactical Observation Probe,shieldprobe,None,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.makivoro_summon_targeting_probe_caster,,,shieldprobe,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.makivoro_surgical_shots,3221710803304448,Surgical Shots,headshot,Tech,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.makivoro_surgical_shots_caster,,,headshot,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.probe_anticover_self_destruct,3221384385789952,Self-Destruct,immolate,Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.probe_attack_self_destruct,3222333573562368,Self-Destruct,immolate,Tech,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.probe_refraction,3221186817294336,Refraction Probe,plasmaprobe,None,,,,False,False,False,True,True,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.probe_shield_heal_buff,3221908371800064,Regenerative Nanite Shield,koltoshell,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.probe_targeting_debuff,3221448810299392,Tactical Analysis,focusedsights,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.tesla_coil_fire,3073916683681792,Electrostatic Discharge,emittermatrix1_str,None,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_event_3.tesla_coil_fire_cast,3073856554139648,Energy Charging,emittermatrix1_str,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bnk_droid_flurry,3189142066298880,Ranged Attack,flurryofbolts,Ranged,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bnk_elbow_impale,3226143209553920,Armblade Impale,retractableblade,Melee,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bnk_elbow_strike,3226156094455808,Armblade Strike,hiltstrike,Tech,-1.0,,,True,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bnk_force_leap,3226349367984128,Armblade Charge,backstab,Ranged,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bnk_laser_blast,3225803907137536,Charged Blast,shrapround,Tech,-1.0,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bnk_melee_flurry,3226126029684736,Armblade Attack,shiv,Melee,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bnk_missile_barrage,3225743777595392,Mini-Missile Barrage,missilefan,Tech,-1.0,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_astromech_repair_console,3193106321113088,Repairing,astrodroideyestalk,None,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_astromech_self_destruct,3192921637519360,Self-Destruct,immolate,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_exhaustion_near_terminal,,,stimpack,None,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_finalstage_cone_spray,3254863655862272,Blaster Volley,desperatecommand,Ranged,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_finalstage_explosiveprobe,3254554418216960,Immolation Probe,explosiveprobe,Tech,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_finalstage_explosiveprobe_caster,,,explosiveprobe,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_finalstage_headshot,3252681812475904,Headshot,headShot,Ranged,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_finalstage_jet_charge,,,jetcharge,Tech,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_finalstage_marktargetdebuff,,,assassinate,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_finalstage_mine,3254837886058496,Electrostatic Mine,poweredpulsecannon,Tech,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_finalstage_mine_caster,,,poweredpulsecannon,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_finalstage_shield,3254623137693696,Portable Ray Shield,energyshield,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_finalstage_shield_detonate,3254683267235840,Discharge Ray Shield,concussionmissiles,Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_finalstage_shiv_bleed,3254799231352832,Gouging Stab,Shiv,Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_finalstage_taser,3252707582279680,Electrocable,forkedlightning,Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_grapple_to_shroud,,,grapple,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_shroud_enter_stealth,3252419819470848,Shield Discharge,,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_shroud_grapple,3194313206923264,Grapple,grapple,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_shroud_holo_buff,3251745509605376,Holoprojection,plainholocommunicator,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_shroud_magnetize,3194643919405056,Magnetize Shot,ionclip,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_shroud_mine,3251831408951296,Electrostatic Mine,poweredpulsecannon,Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_shroud_shield,3194304616988672,Prototype Two-Way Ray Shield,absorbtionfield,None,1.5,,,False,True,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_shroud_shield_overload,3194317501890560,Electromagnetic Overload,forcestorm,None,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_shroud_shield_overload_dispel,3194463530778624,Shield Reboot,,None,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_shroud_summon_reinforcements,3194673984176128,Mobilize Bodyguard Droids,hk51evasionprotocols,None,-1.0,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_shroud_wrist_laser,3194695459012608,Termination Ray,flankingshot,Tech,-1.0,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.bossfight_shroud_wrist_laser_holo,3251801344180224,Termination Ray,flankingshot,Tech,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.buff_bnk_droid,,,craftingdroidimperial,None,,,,False,False,False,True,True,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.buff_bossfight_astromech,3192925932486656,Repair Drone,astrodroidhead,Tech,,,,False,False,False,False,True,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.buff_replicator_droid,3122552893341696,Replicator Droid,shieldprobe,None,,,,False,False,False,True,True,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.buff_replicator_droid_emulation,3126955234820096,Combat Emulation,lightarmors,None,,,,False,False,False,True,True,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.conveyor_electric_exhaustion,3188974562574336,Droid Charging Assembly,shock,None,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.exhasution_droid_station_shield,3121844223737856,Ray-Shielded,energyshield,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.exhaustion_droid_station_battle,,,stimpack,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.exhaustion_light_bridge,,,stimpack,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.exhaustion_reactor,3121723964653568,Radiation Poisoning,lifedrain,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.exhaustion_security_droid_mines,3122703217197056,Electrostatic Mine,shocked,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.light_bridge_area_cast_ballistic,,,stimpack,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.replicator_droid_abls.agent.jadus_dark_barrier,3227783887060992,Replicated Dark Barrier,forcearmor,None,-1.0,,,False,True,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.replicator_droid_abls.backlash,3228209088823296,Replicated Backlash,backlash,Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.replicator_droid_abls.bounty_hunter.tormen_force_impact,3227831131701248,Replicated Force Impact,telekineticblast,Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.replicator_droid_abls.force_charge,3227835426668544,Replicated Force Charge,forceCharge,Melee,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.replicator_droid_abls.force_lightning,3227672217911296,Replicated Force Lightning,sithsorcerer,Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.replicator_droid_abls.force_push,3228101714640896,Replicated Force Push,forcepush,Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.replicator_droid_abls.jedi_consular.syo_force_wave,3227990045491200,Replicated Force Wave,overload,Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.replicator_droid_abls.jedi_consular.vivicar_obliterate,3227908441112576,Replicated Obliterate,saberstorm,Ranged,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.replicator_droid_abls.lightning_strike,3227594908499968,Replicated Lightning Strike,lightningStrike,Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.replicator_droid_abls.overload,3227981455556608,Replicated Overload,overload,Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.replicator_droid_abls.shock,3227736642420736,Replicated Shock,shock,Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.replicator_droid_abls.stasis_field,3228123189477376,Replicated Force Lift,skydrop,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.replicator_droid_abls.static_barrier,3228260628430848,Replicated Static Barrier,electricshield,None,-1.0,,,False,True,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.replicator_droid_abls.turbulence,3227955685752832,Replicated Turbulence,force,Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.replicator_droid_abls.whirlwind,3228307873071104,Replicated Whirlwind,skydrop,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.replicator_droid_copycast,3127728328933376,Downloading Combat Emulation,lockandload,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.replicator_droid_spawn_aggro,,,taunt,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.station_droid_activate_droid_assembler,3123227203207168,Activating Droid Assembler,craftingdroidrepublic,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.station_droid_activate_mines,3123021044776960,Activating Electrostatic Mines,sithholocommunicator,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.station_droid_activate_overload,3125799888617472,Overloading Security System,overload,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.station_droid_activate_turrets,3123128418959360,Activating Security Turrets,personaldefenseturret,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.station_droid_mines_explode,3190138498711552,Electrostatic Mine Overload,shock,None,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.steam_ballistic_blast,,,datapad,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.tag_replicator_droid,,,stimpack,None,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.nar_shaddaa.shroud_finale.welding_laser_exhaustion,3188888663228416,Welding Laser,slash,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.quesh.shroud_event_1.electric_floor_away,3071442782519296,Electroweb Defense Grid,shocked,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.quesh.shroud_event_1.electric_floor_away_low,3071545861734400,Electroweb Defense Grid,shocked,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.quesh.shroud_event_1.electric_hall_insta_kill,3171086023786496,Electrostatic Defense Array,shock,None,,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.quesh.shroud_event_1.stangg_doubleaxe_kill,3216934799671296,Double Axe Grinder,finishingstrikes,Melee,-1.0,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.quesh.shroud_event_1.stangg_injection_buff,3215599064842240,Stim-Induced Rage,heavydutyredstimpack,None,-1.0,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.quesh.shroud_event_1.stangg_knockback_aoe,3216067216277504,Room Sweeper,rocketpunch,Melee,-1.0,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.quesh.shroud_event_1.stangg_morrt_throw,3215551820201984,Parasitic Morrts,tumor,Tech,-1.0,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.taris.ambush_probe_attachments,,,stimpack,None,,,,False,False,False,True,True,False,False
abl.exp.macrobinoculars.roth.multi.taris.ambush_probe_gas_caster,,,stimpack,None,-1.0,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.taris.ambush_probe_gas_spray,3237589297397760,Contagion Spray,lifedrain,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.taris.ambush_probe_shield,3257573780226048,Defense Screen,forcebarriersage,None,-1.0,,,False,False,False,False,False,False,True
abl.exp.macrobinoculars.roth.multi.taris.ambush_probe_summon_rakghouls,3237580707463168,Rakghoul Pheromone Spray,koltoinjection,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.taris.buff_dispense_probe,,,probedroid,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.tatooine.ambush_probe_attachments,,,stimpack,None,,,,False,False,False,True,True,False,False
abl.exp.macrobinoculars.roth.multi.tatooine.ambush_probe_stun_channel,3236820498251776,Ultrasonic Disruption Wave,sonicprobe,Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.tatooine.ambush_probe_summon_sandpeople,3236803318382592,Sand People Battlecry Emulation,hk51assassinate,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.tatooine.buff_dispense_probe,,,probedroid,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.multi.tatooine.probe_grapple_ballistic,3237786865893376,Grapple,grapple,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.voss.ambush_probe_summon_gormak,3237851290402816,Gormak Warcry Emulation,hk51assassinate,None,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.multi.voss.buff_dispense_probe,,,probedroid,None,,,,False,False,False,True,False,False,False
abl.exp.macrobinoculars.roth.republic.coruscant.aoe_knockback,3174156925403136,Concussion Pulse,concussionMissiles,Tech,-1.0,,,False,False,False,False,False,False,False
abl.exp.macrobinoculars.roth.republic.coruscant.construct_droids,3171004419407872,Constructing Droid,slicedroid,None,-1.0,,,False,False,False,False,False,False,False
